# Mr. Estimator v0.1.4
# ------------------------------------------------------------------------
# legendlabel: Fit Exponential
# ------------------------------------------------------------------------
# m = 0.9939982567851756
# tau = 664.4710257808437 [ms]
# quantiles | tau [ms] | m:
#  0.125 |  602.136 | 0.99337895
#  0.250 |  626.838 | 0.99363908
#  0.400 |  643.385 | 0.99380217
#  0.500 |  664.471 | 0.99399826
#  0.600 |  675.622 | 0.99409702
#  0.750 |  700.343 | 0.99430479
#  0.875 |  715.879 | 0.99442804
# 
# fitrange: 1 <= k <= 2000 [4ms]
# function: $|A| e^{-k/\tau}$
# 	tau [ms]   = 664.4710257808437
# 	A          = -0.9795290544401251
# 
# ------------------------------------------------------------------------
# legendlabel: Fit Exp+Offset
# ------------------------------------------------------------------------
# m = 0.9950601012390409
# tau = 807.7315429333491 [ms]
# quantiles | tau [ms] | m:
#  0.125 |  706.659 | 0.99435536
#  0.250 |  736.715 | 0.99458520
#  0.400 |  780.877 | 0.99489065
#  0.500 |  800.606 | 0.99501625
#  0.600 |  835.571 | 0.99522430
#  0.750 |  874.985 | 0.99543892
#  0.875 |  914.042 | 0.99563339
# 
# fitrange: 1 <= k <= 2000 [4ms]
# function: $|A| e^{-k/\tau} + O$
# 	tau [ms]   = 807.7315429333491
# 	A          = 0.9786785770213223
# 	O          = -0.0475606677643396
# 
# ------------------------------------------------------------------------
# legendlabel: Fit Complex
# ------------------------------------------------------------------------
# m = 0.9951583106875811
# tau = 824.1563080432034 [ms]
# fitrange: 1 <= k <= 2000 [4ms]
# function: $|A| e^{-k/\tau} + B e^{-(k/\tau_{osc})^\gamma} \cos(2 \pi \nu k) + C e^{-(k/\tau_{gs})^2} + O$
# 	tau [ms]      = 824.1563080432034
# 	A             = 0.9617192655113145
# 	O             = -0.048293576098677245
# 	tauosc [ms]   = 41.692527238921386
# 	B             = -0.4356397347932994
# 	gamma         = 1.2260718684913314
# 	nu [1/ms]     = 0.005001897113881467
# 	taugs [ms]    = 29.999999999999996
# 	C             = 0.43941120515120197
# 
# ------------------------------------------------------------------------
# Data
# ------------------------------------------------------------------------
# 1_steps[4ms]	2_coefficients	3_stderrs
1.000000000000000000e+00	9.453790907162986645e-01	4.240698414018419585e-03
2.000000000000000000e+00	9.416611352101676991e-01	4.654661428025146618e-03
3.000000000000000000e+00	9.375558200631701755e-01	4.890840132915998117e-03
4.000000000000000000e+00	9.337975200629433647e-01	5.240758550972817592e-03
5.000000000000000000e+00	9.288866495715136784e-01	5.627040609004766575e-03
6.000000000000000000e+00	9.242833461099223546e-01	5.997010046970826201e-03
7.000000000000000000e+00	9.190821376991481495e-01	6.362561467871580105e-03
8.000000000000000000e+00	9.146364334281310571e-01	6.719676098057577630e-03
9.000000000000000000e+00	9.092968696621660518e-01	7.063034385697520082e-03
1.000000000000000000e+01	9.046927942591664884e-01	7.271704103936039824e-03
1.100000000000000000e+01	8.993267711147380217e-01	7.708466644152102941e-03
1.200000000000000000e+01	8.939258130702405492e-01	8.288195051289614854e-03
1.300000000000000000e+01	8.890450105040910156e-01	8.511381446159559105e-03
1.400000000000000000e+01	8.844533737474602475e-01	8.801382444755452908e-03
1.500000000000000000e+01	8.799297051763567135e-01	9.174752970954500389e-03
1.600000000000000000e+01	8.750892460180835775e-01	9.468714304859316214e-03
1.700000000000000000e+01	8.697548365017876426e-01	9.841939967467929623e-03
1.800000000000000000e+01	8.654701030842903986e-01	1.015566013197298674e-02
1.900000000000000000e+01	8.607654994581548369e-01	1.045500177202563462e-02
2.000000000000000000e+01	8.564455316410166663e-01	1.079239290601219196e-02
2.100000000000000000e+01	8.515089546400916864e-01	1.110090740801187789e-02
2.200000000000000000e+01	8.467874062706460814e-01	1.128914778336001859e-02
2.300000000000000000e+01	8.424173522052301744e-01	1.153702299054029483e-02
2.400000000000000000e+01	8.374707347690903969e-01	1.201300276590874794e-02
2.500000000000000000e+01	8.330204725764923657e-01	1.232716250342019530e-02
2.600000000000000000e+01	8.285016430345581995e-01	1.245999889733552871e-02
2.700000000000000000e+01	8.237869328475113662e-01	1.275526151730343657e-02
2.800000000000000000e+01	8.193779020201461538e-01	1.291221640208084671e-02
2.900000000000000000e+01	8.146578179426013921e-01	1.317667894160785488e-02
3.000000000000000000e+01	8.096888336982553946e-01	1.350357746595218927e-02
3.100000000000000000e+01	8.051995744819471224e-01	1.370773088248948557e-02
3.200000000000000000e+01	8.011154918938014902e-01	1.387255590159166760e-02
3.300000000000000000e+01	7.963942120865550311e-01	1.417513836326471550e-02
3.400000000000000000e+01	7.923763928061254846e-01	1.436232865292027053e-02
3.500000000000000000e+01	7.877628722275006323e-01	1.462856939230935092e-02
3.600000000000000000e+01	7.837410533424318260e-01	1.485729562846796296e-02
3.700000000000000000e+01	7.793856745195815172e-01	1.507629681693207872e-02
3.800000000000000000e+01	7.749143664236920470e-01	1.533456693096017093e-02
3.900000000000000000e+01	7.712914498045604361e-01	1.544686204999002992e-02
4.000000000000000000e+01	7.670034886702773447e-01	1.578030366113494093e-02
4.100000000000000000e+01	7.627224152955428549e-01	1.604332956466036561e-02
4.200000000000000000e+01	7.588237040608299955e-01	1.616864272195271679e-02
4.300000000000000000e+01	7.548441323663019897e-01	1.647057298279766546e-02
4.400000000000000000e+01	7.509687457389457865e-01	1.658288233101842465e-02
4.500000000000000000e+01	7.467656296156002238e-01	1.696042876091150703e-02
4.600000000000000000e+01	7.426472684119436174e-01	1.705935019167457642e-02
4.700000000000000000e+01	7.393116989787886784e-01	1.716825098542865830e-02
4.800000000000000000e+01	7.351090945356084649e-01	1.744102075923432624e-02
4.900000000000000000e+01	7.312114424278740588e-01	1.758166316749295785e-02
5.000000000000000000e+01	7.276119616727493300e-01	1.778918280848166070e-02
5.100000000000000000e+01	7.235666356651633269e-01	1.799255324788964425e-02
5.200000000000000000e+01	7.195662741950858976e-01	1.819531350249859597e-02
5.300000000000000000e+01	7.153327760928835932e-01	1.838872402649856935e-02
5.400000000000000000e+01	7.116649252227598144e-01	1.855020937033373396e-02
5.500000000000000000e+01	7.078016626473994100e-01	1.882414251370016778e-02
5.600000000000000000e+01	7.035711037998199080e-01	1.901222222658473932e-02
5.700000000000000000e+01	6.995839196797908333e-01	1.911498944233681538e-02
5.800000000000000000e+01	6.958512161424996734e-01	1.929922234037282844e-02
5.900000000000000000e+01	6.916545821525654780e-01	1.950908127424907587e-02
6.000000000000000000e+01	6.875138122565902510e-01	1.977183598594778324e-02
6.100000000000000000e+01	6.837535835883621349e-01	1.990347904538803531e-02
6.200000000000000000e+01	6.800866562950033112e-01	2.023651261506389035e-02
6.300000000000000000e+01	6.762809341542068697e-01	2.040012203635052646e-02
6.400000000000000000e+01	6.731179085827387887e-01	2.055018131293161535e-02
6.500000000000000000e+01	6.693854231086521223e-01	2.075502046413813320e-02
6.600000000000000000e+01	6.653888866684545267e-01	2.093110512652502503e-02
6.700000000000000000e+01	6.614003011548372779e-01	2.117296500276453705e-02
6.800000000000000000e+01	6.576276687891995376e-01	2.133905994381525908e-02
6.900000000000000000e+01	6.544950240003408748e-01	2.138963828593047969e-02
7.000000000000000000e+01	6.505370355016639738e-01	2.160324200004853576e-02
7.100000000000000000e+01	6.469321045617049126e-01	2.182721896060105596e-02
7.200000000000000000e+01	6.429818797242814465e-01	2.200779883766849909e-02
7.300000000000000000e+01	6.396047270458569134e-01	2.210486404687523124e-02
7.400000000000000000e+01	6.358383052697770266e-01	2.220202308838995289e-02
7.500000000000000000e+01	6.327650205314885312e-01	2.245071222962997590e-02
7.600000000000000000e+01	6.290257690599483364e-01	2.247377141902301423e-02
7.700000000000000000e+01	6.252994446650667060e-01	2.271889217116994375e-02
7.800000000000000000e+01	6.215582202621454666e-01	2.294017736446358341e-02
7.900000000000000000e+01	6.182109142481374553e-01	2.304925398471525250e-02
8.000000000000000000e+01	6.150098078801728985e-01	2.320318333605502978e-02
8.100000000000000000e+01	6.108176994562543038e-01	2.329770099595836544e-02
8.200000000000000000e+01	6.074368265737397632e-01	2.348194348002549323e-02
8.300000000000000000e+01	6.037320743712581983e-01	2.373399509880008001e-02
8.400000000000000000e+01	6.002713600486092593e-01	2.393327646924190560e-02
8.500000000000000000e+01	5.967734297607413252e-01	2.416728328407794640e-02
8.600000000000000000e+01	5.931570100296656989e-01	2.421825423394533341e-02
8.700000000000000000e+01	5.901257936071778731e-01	2.441397679614967092e-02
8.800000000000000000e+01	5.865171261549935178e-01	2.461775044832044054e-02
8.900000000000000000e+01	5.829233111462964745e-01	2.484924625850699204e-02
9.000000000000000000e+01	5.798638306847743173e-01	2.503962896837349378e-02
9.100000000000000000e+01	5.762312025283827799e-01	2.524886816288245822e-02
9.200000000000000000e+01	5.731550811270913481e-01	2.541974028051050688e-02
9.300000000000000000e+01	5.689840656503093452e-01	2.572854399205082992e-02
9.400000000000000000e+01	5.656544626732062930e-01	2.593118332734162951e-02
9.500000000000000000e+01	5.628643950493070758e-01	2.603013578616491033e-02
9.600000000000000000e+01	5.591014508523211024e-01	2.619017440576485931e-02
9.700000000000000000e+01	5.560906063859164528e-01	2.643642301533450159e-02
9.800000000000000000e+01	5.523590404206807358e-01	2.656971304478374096e-02
9.900000000000000000e+01	5.493457532627009643e-01	2.672489992388460758e-02
1.000000000000000000e+02	5.465883812558200994e-01	2.677904505436173171e-02
1.010000000000000000e+02	5.431566482075432800e-01	2.702141619076617665e-02
1.020000000000000000e+02	5.399071202513718859e-01	2.722384411241823843e-02
1.030000000000000000e+02	5.372234557947428435e-01	2.723865271284555550e-02
1.040000000000000000e+02	5.341276780022043980e-01	2.737014097721153505e-02
1.050000000000000000e+02	5.309790186390938027e-01	2.759639334897436014e-02
1.060000000000000000e+02	5.277843882012188681e-01	2.785956410642736678e-02
1.070000000000000000e+02	5.249301354031542521e-01	2.786592033641752814e-02
1.080000000000000000e+02	5.222848827975044017e-01	2.800030332756796650e-02
1.090000000000000000e+02	5.189422905017686549e-01	2.808888603495763789e-02
1.100000000000000000e+02	5.159628930359347887e-01	2.836335722185675742e-02
1.110000000000000000e+02	5.133040219816156213e-01	2.836747443394546653e-02
1.120000000000000000e+02	5.101388464039680049e-01	2.856088912875867983e-02
1.130000000000000000e+02	5.069660229951746810e-01	2.877570429042240405e-02
1.140000000000000000e+02	5.043178402689502127e-01	2.881288277664064909e-02
1.150000000000000000e+02	5.013008053833838407e-01	2.897330211103003178e-02
1.160000000000000000e+02	4.986332018988829939e-01	2.915040398018211090e-02
1.170000000000000000e+02	4.951943730757369377e-01	2.938809221261386509e-02
1.180000000000000000e+02	4.924468259327391406e-01	2.960272414694658377e-02
1.190000000000000000e+02	4.892913084262455747e-01	2.976710499491942372e-02
1.200000000000000000e+02	4.863585349578567474e-01	2.998514332785202213e-02
1.210000000000000000e+02	4.838487427991504108e-01	3.012060037963975798e-02
1.220000000000000000e+02	4.809969868143417204e-01	3.015715981657829045e-02
1.230000000000000000e+02	4.781639697520606025e-01	3.043180175422035422e-02
1.240000000000000000e+02	4.758180593836363603e-01	3.036058629388934879e-02
1.250000000000000000e+02	4.725481290579793270e-01	3.074363574935595755e-02
1.260000000000000000e+02	4.702311223419090025e-01	3.085155261504136590e-02
1.270000000000000000e+02	4.671323009021547956e-01	3.106083574110373585e-02
1.280000000000000000e+02	4.646531230330008810e-01	3.129600128512767532e-02
1.290000000000000000e+02	4.615646343011098329e-01	3.151992446385098318e-02
1.300000000000000000e+02	4.594185921555217211e-01	3.148030138829218533e-02
1.310000000000000000e+02	4.565446108989917873e-01	3.171967165605678318e-02
1.320000000000000000e+02	4.533437542717315694e-01	3.188747684068343746e-02
1.330000000000000000e+02	4.505325712607318733e-01	3.211109598922323727e-02
1.340000000000000000e+02	4.479841239355054627e-01	3.222099864404328468e-02
1.350000000000000000e+02	4.448071482179492553e-01	3.242671426085342451e-02
1.360000000000000000e+02	4.424499115366756774e-01	3.260856868857560376e-02
1.370000000000000000e+02	4.397205656282251462e-01	3.275884582129738598e-02
1.380000000000000000e+02	4.370105614680934170e-01	3.297313405605171305e-02
1.390000000000000000e+02	4.343330000812201108e-01	3.305491305109483496e-02
1.400000000000000000e+02	4.320672309028319447e-01	3.324236357897325522e-02
1.410000000000000000e+02	4.292030601937101286e-01	3.351029486333070850e-02
1.420000000000000000e+02	4.266432531873475820e-01	3.360066894077052418e-02
1.430000000000000000e+02	4.238638372042226043e-01	3.382418217612025851e-02
1.440000000000000000e+02	4.218739578127877476e-01	3.376570255082499833e-02
1.450000000000000000e+02	4.191216773799490980e-01	3.401177660145367904e-02
1.460000000000000000e+02	4.163421203908625468e-01	3.411985308223597357e-02
1.470000000000000000e+02	4.135973632289383639e-01	3.430049390687137101e-02
1.480000000000000000e+02	4.113496582170816929e-01	3.433377655106612664e-02
1.490000000000000000e+02	4.090090600885707417e-01	3.449093195305764914e-02
1.500000000000000000e+02	4.065055965006519889e-01	3.462736210901025402e-02
1.510000000000000000e+02	4.034738895397337322e-01	3.487804560449445784e-02
1.520000000000000000e+02	4.014656939441455519e-01	3.494878064496428210e-02
1.530000000000000000e+02	3.984439769194554337e-01	3.516069309814855159e-02
1.540000000000000000e+02	3.958790908577399792e-01	3.523265568737735803e-02
1.550000000000000000e+02	3.936566243135384835e-01	3.545477563966051987e-02
1.560000000000000000e+02	3.911221628489385815e-01	3.566001797044678068e-02
1.570000000000000000e+02	3.888153937929469395e-01	3.567329820989063871e-02
1.580000000000000000e+02	3.862533079393539182e-01	3.586233841142340284e-02
1.590000000000000000e+02	3.840002152898817633e-01	3.597664460792080604e-02
1.600000000000000000e+02	3.815246604590084023e-01	3.615724507996283255e-02
1.610000000000000000e+02	3.791670914787600433e-01	3.622033002303588767e-02
1.620000000000000000e+02	3.763315082465243377e-01	3.642357214507865176e-02
1.630000000000000000e+02	3.743186921996436434e-01	3.653640808719595817e-02
1.640000000000000000e+02	3.722738362385663580e-01	3.651798974174315371e-02
1.650000000000000000e+02	3.696921368956203047e-01	3.679686730627072799e-02
1.660000000000000000e+02	3.672022524957505585e-01	3.676889994186493399e-02
1.670000000000000000e+02	3.646274227129571721e-01	3.693809415666283319e-02
1.680000000000000000e+02	3.624620350077993325e-01	3.693926018707573145e-02
1.690000000000000000e+02	3.596113486141390703e-01	3.698198675886877479e-02
1.700000000000000000e+02	3.574163680930211306e-01	3.711019193454814791e-02
1.710000000000000000e+02	3.549223189146410995e-01	3.725807079428564844e-02
1.720000000000000000e+02	3.525712607701482204e-01	3.726831717425846402e-02
1.730000000000000000e+02	3.503306904785466469e-01	3.745276541081740684e-02
1.740000000000000000e+02	3.481776095977366925e-01	3.740020496166161779e-02
1.750000000000000000e+02	3.457137692153789410e-01	3.741426892530061443e-02
1.760000000000000000e+02	3.439144124380728029e-01	3.738306869282044531e-02
1.770000000000000000e+02	3.416511377538221095e-01	3.743884917823286917e-02
