# ------------------------------------------------------------------------
# legendlabel: Fit Exponential
# ------------------------------------------------------------------------
# description: 
# m=0.9947261624102998, tau=756.4592123507574[ms]
# quantiles | tau [ms]| m:
#  0.125 |  680.716 | 0.99414106
#  0.250 |  712.979 | 0.99440545
#  0.400 |  729.066 | 0.99452855
#  0.500 |  741.483 | 0.99461993
#  0.600 |  755.537 | 0.99471974
#  0.750 |  776.636 | 0.99486282
#  0.875 |  799.758 | 0.99501097
# 
# fitrange: 1 <= k <= 2000[4.0ms]
# function: $A e^{-k/\tau}$
# 	with parameters:
# 		tau = 756.4592123507574
# 		A = 0.9774420518285808
# 
# 
# ------------------------------------------------------------------------
# legendlabel: Fit Exp+Offset
# ------------------------------------------------------------------------
# description: 
# m=0.9955035863304222, tau=887.5963626798155[ms]
# quantiles | tau [ms]| m:
#  0.125 |  764.529 | 0.99478168
#  0.250 |  808.792 | 0.99506656
#  0.400 |  838.838 | 0.99524285
#  0.500 |  873.897 | 0.99543326
#  0.600 |  899.974 | 0.99556529
#  0.750 |  937.225 | 0.99574118
#  0.875 |  975.053 | 0.99590606
# 
# fitrange: 1 <= k <= 2000[4.0ms]
# function: $A e^{-k/\tau} + O$
# 	with parameters:
# 		tau = 887.5963626798155
# 		A = 0.9780163283607306
# 		O = -0.03949606832707974
# 
# 
# ------------------------------------------------------------------------
# legendlabel: Fit Complex
# ------------------------------------------------------------------------
# description: 
# m=0.9955701957515302, tau=900.972957732371[ms]
# quantiles | tau [ms]| m:
# none
# fitrange: 1 <= k <= 2000[4.0ms]
# function: $A e^{-k/\tau} + B e^{-(k/\tau_{osc})^\gamma} \cos(2 \pi \nu k) + C e^{-(k/\tau_{gs})^2} + O$
# 	with parameters:
# 		tau = 900.972957732371
# 		A = 0.9655118987533148
# 		O = -0.04010437214270651
# 		tauosc = 41.606118701684174
# 		B = -0.3555458184092705
# 		gamma = 1.22448835233484
# 		nu = 0.005004532831813853
# 		taugs = 29.999999999999982
# 		C = 0.3577977358407852
# 
# 
# ------------------------------------------------------------------------
# Data
# ------------------------------------------------------------------------
# 1_steps[4ms]	2_coefficients	3_stderrs
1.000000000000000000e+00	9.502738833382164962e-01	4.375445001486441554e-03
2.000000000000000000e+00	9.470317416984715964e-01	4.781087941528342107e-03
3.000000000000000000e+00	9.431793148870850629e-01	4.982102637373834672e-03
4.000000000000000000e+00	9.399279715076706010e-01	5.342269090276268416e-03
5.000000000000000000e+00	9.354660702720755117e-01	5.719922781197477914e-03
6.000000000000000000e+00	9.313524773860110129e-01	6.147109984860695160e-03
7.000000000000000000e+00	9.266285870463640828e-01	6.515799968391212775e-03
8.000000000000000000e+00	9.226043271163950621e-01	6.810268752837692757e-03
9.000000000000000000e+00	9.177245030717832153e-01	7.224320783817021925e-03
1.000000000000000000e+01	9.134634184273636714e-01	7.394638121295117432e-03
1.100000000000000000e+01	9.085968593217487177e-01	7.842161924473690579e-03
1.200000000000000000e+01	9.038122624097790769e-01	8.425100516480698090e-03
1.300000000000000000e+01	8.992671805202679947e-01	8.684321743013661068e-03
1.400000000000000000e+01	8.950541388873108906e-01	8.959235875352862533e-03
1.500000000000000000e+01	8.909373890517008343e-01	9.245521828019321112e-03
1.600000000000000000e+01	8.865176991188348232e-01	9.656909876607834911e-03
1.700000000000000000e+01	8.816313640972983645e-01	9.993334788094665466e-03
1.800000000000000000e+01	8.777877140972099035e-01	1.035956151858741583e-02
1.900000000000000000e+01	8.734599395735686000e-01	1.073348692354002265e-02
2.000000000000000000e+01	8.695494889274953954e-01	1.097454779955999923e-02
2.100000000000000000e+01	8.649865728722812008e-01	1.136157489934553136e-02
2.200000000000000000e+01	8.605490247437904694e-01	1.153869548483680077e-02
2.300000000000000000e+01	8.565422416980686959e-01	1.184228745394104096e-02
2.400000000000000000e+01	8.521562647721696582e-01	1.236694133978900531e-02
2.500000000000000000e+01	8.481107094437547733e-01	1.269101762689353596e-02
2.600000000000000000e+01	8.438532606655023693e-01	1.288245633352456086e-02
2.700000000000000000e+01	8.395472928714732275e-01	1.322222431234533133e-02
2.800000000000000000e+01	8.353643539308648336e-01	1.343938924366393922e-02
2.900000000000000000e+01	8.310419356123323054e-01	1.382156425776083671e-02
3.000000000000000000e+01	8.264750679214935003e-01	1.408942147505493590e-02
3.100000000000000000e+01	8.222984179391942261e-01	1.441632329749654301e-02
3.200000000000000000e+01	8.184921671406482080e-01	1.464549551830136159e-02
3.300000000000000000e+01	8.141694247459327904e-01	1.501642002505216601e-02
3.400000000000000000e+01	8.104370466469811296e-01	1.520801224603945262e-02
3.500000000000000000e+01	8.061591823991615113e-01	1.551964502539111834e-02
3.600000000000000000e+01	8.024526712531907524e-01	1.586672597609479346e-02
3.700000000000000000e+01	7.983743601995828554e-01	1.613959438986396766e-02
