# Mr. Estimator v0.1.4
# ------------------------------------------------------------------------
# legendlabel: mydat Fit Exponential
# ------------------------------------------------------------------------
# description: mydat
# m = 0.9939981929202228
# tau = 664.4639338505722 [ms]
# fitrange: 1 <= k <= 5000 [4ms]
# function: $|A| e^{-k/\tau}$
# 	tau [ms]   = 664.4639338505722
# 	A          = 0.9795340892436178
# 
# ------------------------------------------------------------------------
# legendlabel: mydat Fit Exp+Offset
# ------------------------------------------------------------------------
# description: mydat
# m = 0.9946738350015476
# tau = 749.0076236623656 [ms]
# fitrange: 1 <= k <= 3000 [4ms]
# function: $|A| e^{-k/\tau} + O$
# 	tau [ms]   = 749.0076236623656
# 	A          = -0.9808506442087468
# 	O          = -0.03010357084595713
# 
# ------------------------------------------------------------------------
# Data
# ------------------------------------------------------------------------
# 1_steps[1ms]	2_coefficients	3_stderrs	4_mydat_coefficients	5_mydat_stderrs
1.000000000000000000e+00	9.966914356232694505e-01	2.906612466030557935e-04	nan	nan
2.000000000000000000e+00	9.928925070644391004e-01	6.348391139795862923e-04	nan	nan
3.000000000000000000e+00	9.886810161256320839e-01	1.022082286653624127e-03	nan	nan
4.000000000000000000e+00	9.840822673548925703e-01	1.429879974773584335e-03	9.453790907162986645e-01	4.240698414018419585e-03
5.000000000000000000e+00	9.792263414821649192e-01	1.861960872812790102e-03	nan	nan
6.000000000000000000e+00	9.741675624539624101e-01	2.309361749670046319e-03	nan	nan
7.000000000000000000e+00	9.689271264711194487e-01	2.768614203951664555e-03	nan	nan
8.000000000000000000e+00	9.636006059875897867e-01	3.225877693430290443e-03	9.416611352101676991e-01	4.654661428025146618e-03
9.000000000000000000e+00	9.581905475517702442e-01	3.684679232025981060e-03	nan	nan
1.000000000000000000e+01	9.527374504191493676e-01	4.138242468154911848e-03	nan	nan
1.100000000000000000e+01	9.473281173480245787e-01	4.584604487616600679e-03	nan	nan
1.200000000000000000e+01	9.419570661807142864e-01	5.016631197452422163e-03	9.375558200631701755e-01	4.890840132915998117e-03
1.300000000000000000e+01	9.366585549019973422e-01	5.443452421574190153e-03	nan	nan
1.400000000000000000e+01	9.314738863343888786e-01	5.849636908470639066e-03	nan	nan
1.500000000000000000e+01	9.263530885011983518e-01	6.246524218162657904e-03	nan	nan
1.600000000000000000e+01	9.212727940215668099e-01	6.639543586665066707e-03	9.337975200629433647e-01	5.240758550972817592e-03
1.700000000000000000e+01	9.162296844695646536e-01	7.030666238089615383e-03	nan	nan
1.800000000000000000e+01	9.112174539726503042e-01	7.417748311153054760e-03	nan	nan
1.900000000000000000e+01	9.062260867057261304e-01	7.794022477705718141e-03	nan	nan
2.000000000000000000e+01	9.012959197435155279e-01	8.163337276714597093e-03	9.288866495715136784e-01	5.627040609004766575e-03
2.100000000000000000e+01	8.963351658818410339e-01	8.542364606105499331e-03	nan	nan
2.200000000000000000e+01	8.913735017087516255e-01	8.914927700369380120e-03	nan	nan
2.300000000000000000e+01	8.864458414394233987e-01	9.266943993789366479e-03	nan	nan
2.400000000000000000e+01	8.815322580727509294e-01	9.603156371045669729e-03	9.242833461099223546e-01	5.997010046970826201e-03
2.500000000000000000e+01	8.766147542007221016e-01	9.928992930944725154e-03	nan	nan
2.600000000000000000e+01	8.716858382581424980e-01	1.024157465810548485e-02	nan	nan
2.700000000000000000e+01	8.667391793696133107e-01	1.054494907076225681e-02	nan	nan
2.800000000000000000e+01	8.618176548127356451e-01	1.083566630673354382e-02	9.190821376991481495e-01	6.362561467871580105e-03
2.900000000000000000e+01	8.569050547300026688e-01	1.112443380253646912e-02	nan	nan
3.000000000000000000e+01	8.520475623038793467e-01	1.140692407406492838e-02	nan	nan
3.100000000000000000e+01	8.472812643670266652e-01	1.167729369571869277e-02	nan	nan
3.200000000000000000e+01	8.425454998832380138e-01	1.193392617740575597e-02	9.146364334281310571e-01	6.719676098057577630e-03
3.300000000000000000e+01	8.378548960520362243e-01	1.220545953339574261e-02	nan	nan
3.400000000000000000e+01	8.332196502328488297e-01	1.248038167001526075e-02	nan	nan
3.500000000000000000e+01	8.286510916703827556e-01	1.276273640466557037e-02	nan	nan
3.600000000000000000e+01	8.241311165004351347e-01	1.304019938508486909e-02	9.092968696621660518e-01	7.063034385697520082e-03
3.700000000000000000e+01	8.196671069102489104e-01	1.331606325157211508e-02	nan	nan
3.800000000000000000e+01	8.152883960391973384e-01	1.359479764355668065e-02	nan	nan
3.900000000000000000e+01	8.109442609520500778e-01	1.387243882528291748e-02	nan	nan
4.000000000000000000e+01	8.066481421841411592e-01	1.413844204350853812e-02	9.046927942591664884e-01	7.271704103936039824e-03
4.100000000000000000e+01	8.023798368991916785e-01	1.441129113393963337e-02	nan	nan
4.200000000000000000e+01	7.981310390502744934e-01	1.468623996957684613e-02	nan	nan
4.300000000000000000e+01	7.939430219130760857e-01	1.496416827867764164e-02	nan	nan
4.400000000000000000e+01	7.897517907980237117e-01	1.522919842908616525e-02	8.993267711147380217e-01	7.708466644152102941e-03
4.500000000000000000e+01	7.855836840258049181e-01	1.548982896251003757e-02	nan	nan
4.600000000000000000e+01	7.814474986447726979e-01	1.574064504039666967e-02	nan	nan
4.700000000000000000e+01	7.773214325977526595e-01	1.600202427534906657e-02	nan	nan
4.800000000000000000e+01	7.731937837828745108e-01	1.627832521194476703e-02	8.939258130702405492e-01	8.288195051289614854e-03
4.900000000000000000e+01	7.690897599059494105e-01	1.656387199722581666e-02	nan	nan
5.000000000000000000e+01	7.649352675741285523e-01	1.685450507621515798e-02	nan	nan
5.100000000000000000e+01	7.608373081769622681e-01	1.713630541345053868e-02	nan	nan
5.200000000000000000e+01	7.567190938986172455e-01	1.742496291855014437e-02	8.890450105040910156e-01	8.511381446159559105e-03
5.300000000000000000e+01	7.525739631994923240e-01	1.770838266114653156e-02	nan	nan
5.400000000000000000e+01	7.484576896711305771e-01	1.798044102987809284e-02	nan	nan
5.500000000000000000e+01	7.443492010290861938e-01	1.824942897055705643e-02	nan	nan
5.600000000000000000e+01	7.402348109415919364e-01	1.851757162905801057e-02	8.844533737474602475e-01	8.801382444755452908e-03
5.700000000000000000e+01	7.360686716028469467e-01	1.879091196306869466e-02	nan	nan
5.800000000000000000e+01	7.319393387498144277e-01	1.906274370058438916e-02	nan	nan
5.900000000000000000e+01	7.278094651429813933e-01	1.933052092066604027e-02	nan	nan
6.000000000000000000e+01	7.236666864544863964e-01	1.960141759757653632e-02	8.799297051763567135e-01	9.174752970954500389e-03
6.100000000000000000e+01	7.195746946462964200e-01	1.987193173068524388e-02	nan	nan
6.200000000000000000e+01	7.155445982276684713e-01	2.013537706507318240e-02	nan	nan
6.300000000000000000e+01	7.115304148466286005e-01	2.038495334334409700e-02	nan	nan
6.400000000000000000e+01	7.075570796545599395e-01	2.062121661042760554e-02	8.750892460180835775e-01	9.468714304859316214e-03
6.500000000000000000e+01	7.036212027255913659e-01	2.086002567047085671e-02	nan	nan
6.600000000000000000e+01	6.997187419095050043e-01	2.109037881368580961e-02	nan	nan
6.700000000000000000e+01	6.958608212064316678e-01	2.131616112744598446e-02	nan	nan
6.800000000000000000e+01	6.919763901066980916e-01	2.153594592582838002e-02	8.697548365017876426e-01	9.841939967467929623e-03
6.900000000000000000e+01	6.881080750578707494e-01	2.174541763206070191e-02	nan	nan
7.000000000000000000e+01	6.842670037983825670e-01	2.195607712453814461e-02	nan	nan
7.100000000000000000e+01	6.804229935185347466e-01	2.216203639808348586e-02	nan	nan
7.200000000000000000e+01	6.765884764219812775e-01	2.236478297428495798e-02	8.654701030842903986e-01	1.015566013197298674e-02
7.300000000000000000e+01	6.727456741248460936e-01	2.256231782835314142e-02	nan	nan
7.400000000000000000e+01	6.688957017141483608e-01	2.276339299329732321e-02	nan	nan
7.500000000000000000e+01	6.650390589695631682e-01	2.296460279944088911e-02	nan	nan
7.600000000000000000e+01	6.612270501571513304e-01	2.316489579278811425e-02	8.607654994581548369e-01	1.045500177202563462e-02
7.700000000000000000e+01	6.574362767471394475e-01	2.335929135145937280e-02	nan	nan
7.800000000000000000e+01	6.536328059045868333e-01	2.356855590697229733e-02	nan	nan
7.900000000000000000e+01	6.498552462733833135e-01	2.377429344070977613e-02	nan	nan
8.000000000000000000e+01	6.460880253211735980e-01	2.398396994682810632e-02	8.564455316410166663e-01	1.079239290601219196e-02
8.100000000000000000e+01	6.423079546487348024e-01	2.419944334194483460e-02	nan	nan
8.200000000000000000e+01	6.385370977612175869e-01	2.441768651723957850e-02	nan	nan
8.300000000000000000e+01	6.347847379827298298e-01	2.464104167509470131e-02	nan	nan
8.400000000000000000e+01	6.310293848218361257e-01	2.487512194068185190e-02	8.515089546400916864e-01	1.110090740801187789e-02
8.500000000000000000e+01	6.273196752523978459e-01	2.511904146086024747e-02	nan	nan
8.600000000000000000e+01	6.236292173114617032e-01	2.537379997817951899e-02	nan	nan
8.700000000000000000e+01	6.199788745959289304e-01	2.563301672454957811e-02	nan	nan
8.800000000000000000e+01	6.163442262715456144e-01	2.588587805876835235e-02	8.467874062706460814e-01	1.128914778336001859e-02
8.900000000000000000e+01	6.127008531114140899e-01	2.613420279360756382e-02	nan	nan
9.000000000000000000e+01	6.090923396234562137e-01	2.637258822933726335e-02	nan	nan
9.100000000000000000e+01	6.054692649573629737e-01	2.659826061294929059e-02	nan	nan
9.200000000000000000e+01	6.018403836688727138e-01	2.682372314106896971e-02	8.424173522052301744e-01	1.153702299054029483e-02
9.300000000000000000e+01	5.982750824191198635e-01	2.702419603166511530e-02	nan	nan
9.400000000000000000e+01	5.947274146420579166e-01	2.722075275301775663e-02	nan	nan
9.500000000000000000e+01	5.911902504573266492e-01	2.739955819616546676e-02	nan	nan
9.600000000000000000e+01	5.877035798222839391e-01	2.755759615753479788e-02	8.374707347690903969e-01	1.201300276590874794e-02
9.700000000000000000e+01	5.842278423071769478e-01	2.770332156160501547e-02	nan	nan
9.800000000000000000e+01	5.808236154546488894e-01	2.783466062698117943e-02	nan	nan
9.900000000000000000e+01	5.774237053061380687e-01	2.795829996682540342e-02	nan	nan
1.000000000000000000e+02	5.740485600515913278e-01	2.808323244203885655e-02	8.330204725764923657e-01	1.232716250342019530e-02
1.010000000000000000e+02	5.707245996830558887e-01	2.820638493606108382e-02	nan	nan
1.020000000000000000e+02	5.674526075694568128e-01	2.831685584539877371e-02	nan	nan
1.030000000000000000e+02	5.641819627494728540e-01	2.842301963046733534e-02	nan	nan
1.040000000000000000e+02	5.609219679724535279e-01	2.853423142268647628e-02	8.285016430345581995e-01	1.245999889733552871e-02
1.050000000000000000e+02	5.576751696479493869e-01	2.864481302362873946e-02	nan	nan
1.060000000000000000e+02	5.544732801523849508e-01	2.875758691681957330e-02	nan	nan
1.070000000000000000e+02	5.513105206957528148e-01	2.885968970506382764e-02	nan	nan
1.080000000000000000e+02	5.481423349080731811e-01	2.896319790771846245e-02	8.237869328475113662e-01	1.275526151730343657e-02
1.090000000000000000e+02	5.449869213629907616e-01	2.907168056883734433e-02	nan	nan
1.100000000000000000e+02	5.418251347793681116e-01	2.919350315154664241e-02	nan	nan
1.110000000000000000e+02	5.386766158064059118e-01	2.932099003938883411e-02	nan	nan
1.120000000000000000e+02	5.355331347403184949e-01	2.947339909983183112e-02	8.193779020201461538e-01	1.291221640208084671e-02
1.130000000000000000e+02	5.324145884592963451e-01	2.963615407658235987e-02	nan	nan
1.140000000000000000e+02	5.292632344806220690e-01	2.982050233913551007e-02	nan	nan
1.150000000000000000e+02	5.261183596636851423e-01	3.001482458918970642e-02	nan	nan
1.160000000000000000e+02	5.230055005677893831e-01	3.021902721662571636e-02	8.146578179426013921e-01	1.317667894160785488e-02
1.170000000000000000e+02	5.198901306309043902e-01	3.042462975479102300e-02	nan	nan
1.180000000000000000e+02	5.167649822092896805e-01	3.063779880062825201e-02	nan	nan
1.190000000000000000e+02	5.136761916104095604e-01	3.085214836913436828e-02	nan	nan
1.200000000000000000e+02	5.105786603494670839e-01	3.106735942379590040e-02	8.096888336982553946e-01	1.350357746595218927e-02
1.210000000000000000e+02	5.074907823130339057e-01	3.127415582955413165e-02	nan	nan
1.220000000000000000e+02	5.044502295494980304e-01	3.147991341661992432e-02	nan	nan
1.230000000000000000e+02	5.014449756842317418e-01	3.169536607683285517e-02	nan	nan
1.240000000000000000e+02	4.984589631744057447e-01	3.190965847020134361e-02	8.051995744819471224e-01	1.370773088248948557e-02
1.250000000000000000e+02	4.955240198127953688e-01	3.211877955736846396e-02	nan	nan
1.260000000000000000e+02	4.926120298913206352e-01	3.233146384572275350e-02	nan	nan
1.270000000000000000e+02	4.897376431999259649e-01	3.253976787053189379e-02	nan	nan
1.280000000000000000e+02	4.868795848377929225e-01	3.275026244840066603e-02	8.011154918938014902e-01	1.387255590159166760e-02
1.290000000000000000e+02	4.840479629446211018e-01	3.297156964363392312e-02	nan	nan
1.300000000000000000e+02	4.812325438531488975e-01	3.319547672697630708e-02	nan	nan
1.310000000000000000e+02	4.783995035441573895e-01	3.342610527470971787e-02	nan	nan
1.320000000000000000e+02	4.755620634055008900e-01	3.366364113657437790e-02	7.963942120865550311e-01	1.417513836326471550e-02
1.330000000000000000e+02	4.727239769889652332e-01	3.388885540826407777e-02	nan	nan
1.340000000000000000e+02	4.698894764264974211e-01	3.411547333923511255e-02	nan	nan
