# legendlabel: $A e^{-k/\tau}$
# description: 
# m=0.9938337072239355, tau=646.6859173971507[ms]
# fitrange: 1 <= k <= 5000[4.0ms]
# function: $A e^{-k/\tau}$
# 	with parameters:
# 		tau = 646.6859173971507
# 		A = 0.9692993494176645
# 
# legendlabel: $A e^{-k/\tau} + O$
# description: 
# m=0.994261478039535, tau=695.0416806050425[ms]
# fitrange: 1 <= k <= 2999[4.0ms]
# function: $A e^{-k/\tau} + O$
# 	with parameters:
# 		tau = 695.0416806050425
# 		A = 0.9901016772895169
# 		O = -0.024830960041080253
# 
# 1_steps[4.0ms]	2_coefficients	3_stderrs	4_coefficients	5_stderrs
1.000000000000000000e+00	9.473137494698633532e-01	4.696798199564734821e-03	9.968211886905361530e-01	3.249263963958897035e-04
2.000000000000000000e+00	9.439783528424856573e-01	5.100875978477929264e-03	nan	nan
3.000000000000000000e+00	9.400034270873248721e-01	5.415129703638913924e-03	nan	nan
4.000000000000000000e+00	9.355651289621329525e-01	5.779286529400613423e-03	nan	nan
5.000000000000000000e+00	9.320000624722533100e-01	6.087975334711434594e-03	nan	nan
6.000000000000000000e+00	9.265818843591600018e-01	6.897303927620009045e-03	nan	nan
7.000000000000000000e+00	9.220830737989595960e-01	7.150563300664891826e-03	nan	nan
8.000000000000000000e+00	9.171705188053920210e-01	7.541268178279644796e-03	nan	nan
9.000000000000000000e+00	9.121123255219594217e-01	7.853799542324070918e-03	nan	nan
1.000000000000000000e+01	9.075127901673333275e-01	8.407205280855405832e-03	nan	nan
1.100000000000000000e+01	9.026932854778688675e-01	8.515667684260225939e-03	nan	nan
1.200000000000000000e+01	8.975555308313456493e-01	8.747662080160286194e-03	nan	nan
1.300000000000000000e+01	8.926238594514959157e-01	9.251352717201887302e-03	nan	nan
1.400000000000000000e+01	8.881084616753668337e-01	9.469306008481144857e-03	nan	nan
1.500000000000000000e+01	8.826090776268669114e-01	1.007432715538473730e-02	nan	nan
1.600000000000000000e+01	8.780536022113023531e-01	1.036197997972913322e-02	nan	nan
1.700000000000000000e+01	8.730893789873490629e-01	1.052733739936697298e-02	nan	nan
1.800000000000000000e+01	8.683283510554202778e-01	1.111320891364828665e-02	nan	nan
1.900000000000000000e+01	8.636279904004304786e-01	1.149058889408387935e-02	nan	nan
2.000000000000000000e+01	8.588339632678895219e-01	1.177904446431847496e-02	nan	nan
2.100000000000000000e+01	8.542784001989174314e-01	1.224417689339672363e-02	nan	nan
2.200000000000000000e+01	8.491831899682829032e-01	1.255837815768431724e-02	nan	nan
2.300000000000000000e+01	8.444045686641759030e-01	1.298176519496382735e-02	nan	nan
2.400000000000000000e+01	8.401878038936064774e-01	1.341851070358912427e-02	nan	nan
2.500000000000000000e+01	8.357088828839062122e-01	1.387322703529108442e-02	nan	nan
2.600000000000000000e+01	8.311373795696239686e-01	1.430736954319489218e-02	nan	nan
2.700000000000000000e+01	8.265259800429725079e-01	1.471479150046970871e-02	nan	nan
2.800000000000000000e+01	8.225367282962858795e-01	1.513668190641905692e-02	nan	nan
2.900000000000000000e+01	8.183112432912891254e-01	1.541994798216537836e-02	nan	nan
3.000000000000000000e+01	8.139670062840943521e-01	1.588457617591916213e-02	nan	nan
3.100000000000000000e+01	8.096716454529968576e-01	1.639370335695827796e-02	nan	nan
3.200000000000000000e+01	8.057445170255739253e-01	1.672270037640584406e-02	nan	nan
3.300000000000000000e+01	8.015783070591812054e-01	1.718257574146692807e-02	nan	nan
3.400000000000000000e+01	7.977151887050302204e-01	1.761649094568626742e-02	nan	nan
3.500000000000000000e+01	7.929155787998836136e-01	1.815399635421189109e-02	nan	nan
3.600000000000000000e+01	7.892436199160313137e-01	1.854811929001829243e-02	nan	nan
3.700000000000000000e+01	7.850272499618629052e-01	1.882481282602927949e-02	nan	nan
3.800000000000000000e+01	7.805714458912442755e-01	1.931250761339542779e-02	nan	nan
3.900000000000000000e+01	7.767439291473018370e-01	1.982893776744598310e-02	nan	nan
4.000000000000000000e+01	7.727543354491206440e-01	1.991419183868558401e-02	nan	nan
4.100000000000000000e+01	7.683798122762885985e-01	2.049160213811345929e-02	nan	nan
4.200000000000000000e+01	7.641413203267675147e-01	2.087925522221224101e-02	nan	nan
4.300000000000000000e+01	7.596941632216209772e-01	2.135847699340178221e-02	nan	nan
4.400000000000000000e+01	7.560530632480538804e-01	2.160855249240398179e-02	nan	nan
4.500000000000000000e+01	7.515947183005750043e-01	2.198721253766066502e-02	nan	nan
4.600000000000000000e+01	7.476496277300237470e-01	2.221646301605896198e-02	nan	nan
4.700000000000000000e+01	7.438508348908785539e-01	2.248674218115763457e-02	nan	nan
4.800000000000000000e+01	7.394839280919998092e-01	2.268579536417156262e-02	nan	nan
4.900000000000000000e+01	7.355211420962344260e-01	2.300462041112281628e-02	nan	nan
5.000000000000000000e+01	7.313347101139572315e-01	2.322405207214579478e-02	nan	nan
5.100000000000000000e+01	7.274643597735551692e-01	2.346781864330836978e-02	nan	nan
5.200000000000000000e+01	7.234409022746706164e-01	2.375944922917872307e-02	nan	nan
5.300000000000000000e+01	7.199215632528690456e-01	2.397418258829925666e-02	nan	nan
5.400000000000000000e+01	7.156024284982223094e-01	2.432608217700627656e-02	nan	nan
5.500000000000000000e+01	7.115858937688128716e-01	2.473181994212504675e-02	nan	nan
